	Player	Position	Team	Minutes Played	Goals per 90 minutes	Assists per 90 minutes	Total Goal Contribution Percent	Total Goal Contribution	Total Assists Contribution Percent	Total Assists Contribution
404	Cristiano Ronaldo	FW,MF	Portugal	520.0	1.9	0.0	52.05	0.83	0.0	0.0
396	William Carvalho	MF	Portugal	180.0	1.0	0.0	27.4	0.44	0.0	0.0
401	Bernardo Silva	MF,FW	Portugal	499.0	0.54	1.08	14.79	0.24	65.06	1.04
399	Bruno Fernandes	MF	Portugal	424.0	0.21	0.21	5.75	0.09	12.65	0.2
389	Rui Patrício	GK	Portugal	540.0	0.0	0.0	0.0	0.0	0.0	0.0
391	Pepe	DF	Portugal	180.0	0.0	0.0	0.0	0.0	0.0	0.0
392	Nélson Semedo	DF	Portugal	244.0	0.0	0.0	0.0	0.0	0.0	0.0
393	José Fonte	DF	Portugal	360.0	0.0	0.0	0.0	0.0	0.0	0.0
394	Raphaël Guerreiro	DF	Portugal	450.0	0.0	0.2	0.0	0.0	12.05	0.19
395	Rúben Dias	DF	Portugal	540.0	0.0	0.17	0.0	0.0	10.24	0.16
397	Rúben Neves	MF	Portugal	182.0	0.0	0.0	0.0	0.0	0.0	0.0
398	Danilo Pereira	MF	Portugal	360.0	0.0	0.0	0.0	0.0	0.0	0.0
406	João Félix	FW	Portugal	243.0	0.0	0.0	0.0	0.0	0.0	0.0
